Sea Port of Indonesia,Latitude,Longitude
"Port of Sabang, Sumatra",5.845555556,95.30694444
Port of Uleelheue,5.546388889,95.27194444
Port of Lhoknga,5.4525,95.24694444
"Port of Meulaboh, Sumatra",4.144166667,96.15388889
Port of Susoh,3.719166667,96.82472222
"Port of Sibolga, Sumatra",1.766944444,98.66138889
"Port of Gunung Sitoli, St",1.283055556,97.61666667
Port of Malahayati,-5.583055556,95.5
"Port of Bengkulu, Sumatra",-3.794722222,102.2547222
Port of Pulau Baai,-3.918611111,102.2736111
Port of Semangka Bay,-5.489444444,104.5861111
Port of Manggar,-2.85,108.2830556
"Port of Pangkal Balam, Banka",-2.098055556,106.1380556
"Port of Muntok, Banka",-2.066666667,105.1666667
Port of Ramba,-2.616666667,104.1330556
Port of Tanjung Balai Karimun,-0.983055556,103.4330556
"Port of Dabo, Singkep",-0.5,104.5666667
Port of Penuba,-0.333055556,104.4666667
Port of Rengat,-0.366666667,102.55
"Port of Sungai Guntung, Sumatra",0.290277778,103.6119444
"Port of Bandung, Java",0.533055556,103.2830556
"Port of Kidjang, Bintan",0.85,104.6166667
"Port of Tanjung Pinang, Riau",0.916666667,104.4330556
Port of Tandjung Uban,1.063333333,104.2161111
Port of Batu Ampar,1.175,103.9986111
Port of Kabil,1.164444444,103.9988889
Port of Sekupang,1.082222222,103.9366667
Port of Pulau Batam,1.135277778,104.05
Port of Buatan,0.9375,102.2922222
Port of Pekanbaru,1.001666667,102.1130556
Port of Lalang Marine Terminal,1.198333333,102.2055556
Port of Sungai Pakning,1.353888889,102.1580556
"Port of Dumai, Sumatra",1.688611111,101.4305556
Port of Tanjung Balai Asahan,3,99.81666667
Port of Kuala Tanjung,3.3625,99.44527778
Port of Medan,3.780277778,98.68111111
"Port of Medan, Sumatra",3.746111111,98.63138889
"Port of Pangkalan Susu, Sumatra",4.208333333,98.24888889
Port of Kuala Langsa,4.55,98.06555556
Port of Kuala Beukah,4.869444444,97.90305556
"Port of Lhoksumawe, Sumatra",5.170277778,97.15194444
Port of Hagu,5.2,97.13305556
Port of Blang Lancang,5.222222222,97.09555556
Port of Krueng Geukueh,5.242222222,97.0325
Port of Belida Marine Terminal,4.133055556,105.1330556
Port of Udang Natuna,4.033055556,106.4830556
Port of Anoa Natuna,5.233055556,105.6
Port of Kakap Natuna Marine Terminal,5.016666667,105.95
Port of Anyer Terminal,-6.033055556,105.9330556
Port of Ciwandan,-6.02,105.9525
Port of Cigading,-6.016111111,105.9597222
Port of Banten,-6.012777778,105.9641667
Port of Bojonegara,-6.0025,105.9741667
Port of Tanjung Gerem,-5.968888889,105.9969444
Port of Prointal,-5.95,106.0025
Port of Tanjung Sekong,-5.916666667,106.0044444
Port of Cengkareng,-5.799722222,106.7330556
Port of Sunda Kelapa,-6.097777778,106.7963889
"Port of Tapaktuan, Sumatra",-6.108888889,106.8675
Port of Tanjung Priok,-6.100833333,106.8908333
Port of Balongan,-6.35,108.3830556
"Port of Cirebon, Java",-6.666666667,108.5330556
Port of Tegal,-6.85,109.1330556
"Port of Tjilatjap, Java",-7.666666667,109.0666667
Port of Tanjung Intan,-7.733055556,108.9830556
Port of Tuban,-6.9,112.0666667
"Port of Gresik, Java",-7.159166667,112.6622222
